JobTitle,ExperienceRequired,Location,CompanyName,JobDescriptionPage,Keyskill,JobDescription,Salary
Manager/senior Manager - Big Data Analytics - Banking Domain,5-10 yrs,Gurgaon,Huquo Consulting Pvt. Ltd,https://www.naukri.com/job-listings-Manager-senior-Manager-Big-Data-Analytics-Banking-Domain-Huquo-Consulting-Pvt-Ltd-Gurgaon-5-to-10-years-140918900744?src=jobsearchDesk&sid=15383328622468&xp=13&px=1,"sql, hive, spark, big data analytics, tableau, data analysis...",- Should be able to understand business needs and apply analytical concepts to generate actionable ...,  Not disclosed 
Manager - Data & Analytics,5-10 yrs,Gurgaon,Cargill Business Services India Private Limited,https://www.naukri.com/job-listings-Manager-Data-Analytics-Cargill-Business-Services-India-Private-Limited-Gurgaon-5-to-10-years-100918900400?src=jobsearchDesk&sid=15383328622468&xp=14&px=1,"data analytics, data analysis, training needs, business generation, sas...",They should work closely with the senior management and the technical teams in creating detailed scope ...,  Not disclosed 
Big Data Analytics Role - Insurance Domain - BFS,6-10 yrs,Gurgaon,Nacre Outsourcing,https://www.naukri.com/job-listings-Big-Data-Analytics-Role-Insurance-Domain-BFS-Nacre-Outsourcing-Gurgaon-6-to-10-years-100918900010?src=jobsearchDesk&sid=15383328622468&xp=15&px=1,"Hadoop, Hive, Hdfs, Impala, Mapreduce, Spark, Big Data Analytics, R...",Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,  Not disclosed 
Lead - Data Analytics - Forensic & Fraud,5-10 yrs,"Mumbai, Bengaluru, Chennai, Kolkata, Delhi",Confidential,https://www.naukri.com/job-listings-Lead-Data-Analytics-Forensic-Fraud-Confidential-Mumbai-Bengaluru-Chennai-Kolkata-Delhi-5-to-10-years-300718007837?src=jobsearchDesk&sid=15383328622468&xp=16&px=1,"Predictive Analytics, SAS, Data Analytics, Data Quality, Data Analysis...","Typically requires a minimum of 5-7 years experience analyzing data and/or teaching, including at least ...",  Not disclosed 
Assurance Data Analytics - Senior,6-9 yrs,Gurgaon,EYGBS (INDIA) LLP,https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=15383328622468&xp=17&px=1,"Data Analytics, Process Improvement, business analytics, Excel, SPSS, SAS",Bachelors degree with at least 10 years of experience in IT Auditing and 5+ years of experience in Data ...,  Not disclosed 
Sr. SAS Data Analytics Consultant,6-10 yrs,"Mumbai, Delhi, Jaipur",Nupeak IT Solutions,https://www.naukri.com/job-listings-Sr-SAS-Data-Analytics-Consultant-Nupeak-IT-Solutions-Mumbai-Delhi-Jaipur-6-to-10-years-100718003640?src=jobsearchDesk&sid=15383328622468&xp=18&px=1,"sas stat, text mining, base sas, data analysis, statistics, analytics...",- Flexible to work in different time zones and travel as required;- Proficient in using statistical ...,  Not disclosed 
Data Analyst,1-5 yrs,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Jaipur",AASTHA CONSTRUCTIONS,https://www.naukri.com/job-listings-Data-Analyst-AASTHA-CONSTRUCTIONS-Delhi-NCR-Mumbai-Bengaluru-Chennai-Hyderabad-Pune-Kolkata-Ahmedabad-Jaipur-1-to-5-years-300918001881?src=jobsearchDesk&sid=15383328622468&xp=19&px=1,"Data Analysis, Data Analytics, Data Collection, data recovery, data backup,...",- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,"    3,25,000 - 8,25,000 P.A. Best in all the Industry, Medi...  "
DATA Analytics / DATA Science / Analyst - SAS / R / Python / RPA / BI,0-5 yrs,"Delhi NCR, Gurgaon, Noida",SLA Consultants India,https://www.naukri.com/job-listings-DATA-Analytics-DATA-Science-Analyst-SAS-R-Python-RPA-BI-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-060918000358?src=jobsearchDesk&sid=15383328622468&xp=20&px=1,"data Analyst, reporting analyst, SAS, statistics, sas programmer...",Experience in managing multiple concurrent initiatives from multiple regions or clients;Self-driven and ...,"    2,00,000 - 4,25,000 P.A.  "
SAS Reporting Trainee - DATA Analytics Group ( Graduate Fresher ),0-5 yrs,"Delhi NCR, Gurgaon, Noida",SLA Consultants India,https://www.naukri.com/job-listings-SAS-Reporting-Trainee-DATA-Analytics-Group-Graduate-Fresher-SLA-Consultants-India-Delhi-NCR-Gurgaon-Noida-0-to-5-years-040918000119?src=jobsearchDesk&sid=15383328622468&xp=21&px=1,"data Analyst, reporting analyst, SAS, statistics, sas programmer...","Hands-on experience in model building - logistic, liner regression, time series & behavior ...","    2,00,000 - 4,25,000 P.A.  "
Sr. Director - IT Audit and Data Analytics,13-23 yrs,Delhi NCR,Naukri Premium - Employer Services,https://www.naukri.com/job-listings-Sr-Director-IT-Audit-and-Data-Analytics-Naukri-Employer-Services-Delhi-NCR-13-to-23-years-060918001992?src=jobsearchDesk&sid=15383328622468&xp=22&px=1,"Cisa, Auditing, Information Security, IT Audit, Internal Audit...",- 2-5 years of total experience of Data Analytics / Data Insights Generation;- Experience in credit card ...,  Not disclosed 
